LEGACY_CUST_ID,CUSTOMER_NAME,ACCOUNT_STATUS,EMAIL
CUST_0001,Customer Name 1,Active,user1@example.com
CUST_0002,Customer Name 2,Hold,user2@example.com
CUST_0003,Customer Name 3,Active,user3@example.com
CUST_0004,Customer Name 4,Inactive,user4@example.com
CUST_0005,Customer Name 5,Active,user5@example.com
CUST_0006,Customer Name 6,Inactive,user6@example.com
CUST_0007,Customer Name 7,Inactive,user7@example.com
CUST_0008,Customer Name 8,Active,user8@example.com
CUST_0009,Customer Name 9,Hold,user9@example.com
CUST_0010,Customer Name 10,Inactive,user10@example.com
CUST_0011,Customer Name 11,Inactive,user11@example.com
CUST_0012,Customer Name 12,Hold,user12@example.com
CUST_0013,Customer Name 13,Hold,user13@example.com
CUST_0014,Customer Name 14,Inactive,user14@example.com
CUST_0015,Customer Name 15,Hold,user15@example.com
CUST_0016,Customer Name 16,Active,user16@example.com
CUST_0017,Customer Name 17,Active,user17@example.com
CUST_0018,Customer Name 18,Inactive,user18@example.com
CUST_0019,Customer Name 19,Hold,user19@example.com
CUST_0020,Customer Name 20,Inactive,user20@example.com
CUST_0021,Customer Name 21,Active,user21@example.com
CUST_0022,Customer Name 22,Hold,user22@example.com
CUST_0023,Customer Name 23,Active,user23@example.com
CUST_0024,Customer Name 24,Active,user24@example.com
CUST_0025,Customer Name 25,Hold,user25@example.com
CUST_0026,Customer Name 26,Active,user26@example.com
CUST_0027,Customer Name 27,Inactive,user27@example.com
CUST_0028,Customer Name 28,Hold,user28@example.com
CUST_0029,Customer Name 29,Active,user29@example.com
CUST_0030,Customer Name 30,Active,user30@example.com
CUST_0031,Customer Name 31,Inactive,user31@example.com
CUST_0032,Customer Name 32,Inactive,user32@example.com
CUST_0033,Customer Name 33,Active,user33@example.com
CUST_0034,Customer Name 34,Hold,user34@example.com
CUST_0035,Customer Name 35,Hold,user35@example.com
CUST_0036,Customer Name 36,Inactive,user36@example.com
CUST_0037,Customer Name 37,Active,user37@example.com
CUST_0038,Customer Name 38,Hold,user38@example.com
CUST_0039,Customer Name 39,Inactive,user39@example.com
CUST_0040,Customer Name 40,Active,user40@example.com
CUST_0041,Customer Name 41,Inactive,user41@example.com
CUST_0042,Customer Name 42,Inactive,user42@example.com
CUST_0043,Customer Name 43,Active,user43@example.com
CUST_0044,Customer Name 44,Inactive,user44@example.com
CUST_0045,Customer Name 45,Hold,user45@example.com
CUST_0046,Customer Name 46,Active,user46@example.com
CUST_0047,Customer Name 47,Active,user47@example.com
CUST_0048,Customer Name 48,Inactive,user48@example.com
CUST_0049,Customer Name 49,Hold,user49@example.com
CUST_0050,Customer Name 50,Inactive,user50@example.com
